"type";"class";"is_tunnel";"is_bridge";"is_oneway";"is_link";"layer";"geometry"
"primary";"highway";0;0;1;0;0;"{""type"":""LineString"",""coordinates"":[[-7910335.75449456,5213573.57313173],[-7910347.94037823,5213533.0709672],[-7910358.09217105,5213500.91429101],[-7910393.8847053,5213392.5393951],[-7910399.01658586,5213378.3487387],[-7910402.14236766,5213369.85203023]]}"
"primary";"highway";0;0;1;0;0;"{""type"":""LineString"",""coordinates"":[[-7910099.40806794,5213246.13930367],[-7910082.30490963,5213286.52661573],[-7910076.77180931,5213300.89388488],[-7910073.24480776,5213311.94078943],[-7910069.99772697,5213325.08346638],[-7910067.02123624,5213339.04679155],[-7910064.52061081,5213352.99751223],[-7910062.97171595,5213365.34486405],[-7910062.04797744,5213377.88160891],[-7910060.77900334,5213419.784505],[-7910059.77128861,5213432.49807477],[-7910058.21306306,5213445.36316424],[-7910055.83373662,5213456.20823361],[-7910051.89618462,5213466.85131144],[-7910047.27749212,5213474.08558113],[-7910042.11761948,5213480.19620766],[-7910035.53015098,5213483.3777751]]}"
"primary";"highway";0;0;1;0;0;"{""type"":""LineString"",""coordinates"":[[-7910427.92306946,5213257.74164296],[-7910449.57027474,5213143.46111445],[-7910455.96179872,5213110.16953189],[-7910461.36426935,5213085.56388304]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7909782.42580164,5213791.95702135],[-7909923.95373686,5213408.57334741],[-7909941.86866537,5213360.49682215],[-7909961.56575603,5213314.8066742],[-7909983.67016522,5213264.66012842],[-7909999.79360088,5213232.04986617],[-7910021.33816855,5213187.35770313],[-7910044.71155184,5213140.87302742],[-7910061.78671807,5213106.39472578],[-7910075.26023722,5213079.51663485],[-7910086.60635861,5213061.53903465],[-7910097.90582654,5213045.7834131],[-7910112.50835941,5213028.58860604],[-7910129.19163658,5213009.84099957],[-7910141.68543308,5212997.48148671],[-7910154.78572455,5212983.83428033]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7909789.62909581,5213723.02105279],[-7909901.28948616,5213421.75403405],[-7909921.29448966,5213369.80152975],[-7909945.78755598,5213311.89028927],[-7909974.45144159,5213254.25715219],[-7909993.55136798,5213220.52330788],[-7910018.27770159,5213183.87323826],[-7910044.71155184,5213140.87302742]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910164.12574718,5212901.66109173],[-7910084.15238663,5213064.56896488],[-7910075.26023722,5213079.51663485]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910297.23739827,5212818.09993406],[-7910303.84352816,5212830.01735881],[-7910312.45575681,5212843.43710399],[-7910325.11750576,5212859.41962873],[-7910338.31110415,5212872.71317103],[-7910352.7083618,5212884.47917086],[-7910368.29994802,5212895.09635708],[-7910385.84164885,5212906.33215569],[-7910406.56511563,5212917.44172249],[-7910424.02284024,5212926.93536263],[-7910443.03879039,5212935.4821718],[-7910459.88068933,5212942.64028822],[-7910477.28242978,5212949.17980672],[-7910498.64971431,5212957.12065668]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910156.96910646,5212904.02187242],[-7910121.4191702,5212976.25952117],[-7910098.31637698,5213023.10950375],[-7910080.39211778,5213059.62007934],[-7910056.41223952,5213107.41733198],[-7910038.80522384,5213142.8803729],[-7910018.27770159,5213183.87323826],[-7909981.31883085,5213258.14564197],[-7909954.74502023,5213314.86979943],[-7909936.82076103,5213359.6509401],[-7909916.51717539,5213413.10578452],[-7909778.28297442,5213789.01523808]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7909790.81409368,5213668.69329789],[-7909863.070972,5213474.31283577],[-7909877.11366336,5213440.86858732],[-7909894.4220969,5213405.03830047],[-7909914.72568254,5213368.00876313]]}"
"rail";"railway";0;0;0;0;0;"{""type"":""LineString"",""coordinates"":[[-7910094.60276159,5213085.07151822],[-7910073.76732651,5213127.06149203]]}"
